Les 387 ventes d'appartements d' Ermont (95) sur la période du 2017-07-01 au 2019-06-30 (Notaires de France - base de données PERVAL);;;;;;;;;
;;;;;;;;;
Montant;Surface;Nombre de pièces;Construction;Garage;DPE;GES;Etage;Cave;Terrasse / balcon
220 000 €;69 m²;3;1981 / 1991;Oui;D;E;2;Oui;Oui
195 000 €;45 m²;2;2001 / 2010;Oui;D;B;4;Non;Oui
250 300 €;83 m²;4;2001 / 2010;Oui;E;C;0;Non;Non
242 000 €;65 m²;3;-;Oui;-;-;3;Non;Oui
45 000 €;28 m²;2;-;Non;-;-;2;Oui;-
321 000 €;88 m²;5;-;Oui;E;C;6;Oui;Oui
311 400 €;67 m²;3;2011 / 2020;Oui;B;C;1;Non;Oui
224 720 €;46 m²;2;2011 / 2020;Oui;-;-;3;Non;Oui
269 000 €;66 m²;3;1981 / 1991;Oui;D;B;1;Oui;Non
250 000 €;66 m²;3;1981 / 1991;Oui;E;C;4;Oui;Oui
186 340 €;40 m²;2;2001 / 2010;Oui;D;B;3;Non;Non
198 320 €;60 m²;3;1948 / 1969;Oui;E;F;4;Oui;Non
105 000 €;39 m²;1;1981 / 1991;Non;-;-;5;Non;Oui
194 500 €;80 m²;4;-;Oui;-;-;2;Oui;Non
205 000 €;68 m²;3;-;Oui;E;C;1;Non;Oui
171 000 €;79 m²;4;1970 / 1980;Oui;D;E;1;Non;Oui
166 085 €;49 m²;2;1981 / 1991;Oui;E;B;2;Non;Non
165 200 €;56 m²;2;-;Oui;-;-;0;Non;Oui
195 000 €;65 m²;3;1981 / 1991;Oui;F;C;1;Non;Oui
200 600 €;67 m²;3;1981 / 1991;Oui;E;C;1;Non;Oui
185 000 €;51 m²;2;-;Oui;D;E;2;Oui;Oui
297 000 €;82 m²;4;1992 / 2000;Oui;D;C;3;Non;Oui
394 500 €;108 m²;4;2001 / 2010;Oui;B;C;2;Non;Oui
225 000 €;65 m²;3;1948 / 1969;Oui;E;E;1;Oui;Non
126 000 €;31 m²;2;-;Non;C;D;3;Oui;-
215 000 €;81 m²;4;1970 / 1980;Oui;D;F;7;Oui;Non
137 865 €;41 m²;2;-;Oui;D;E;2;Oui;Non
257 000 €;60 m²;3;2011 / 2020;Oui;B;C;3;Non;Oui
