Les 342 ventes d'appartements de  Sannois (95) sur la période du 2017-07-01 au 2019-06-30 (Notaires de France - base de données PERVAL);;;;;;;;;
;;;;;;;;;
Montant;Surface;Nombre de pièces;Construction;Garage;DPE;GES;Etage;Cave;Terrasse / balcon
116 000 €;45 m²;2;1970 / 1980;Non;C;D;3;Non;Non
131 000 €;51 m²;2;1970 / 1980;Oui;D;E;3;Non;Non
124 500 €;34 m²;1;1981 / 1991;Oui;E;C;0;Oui;Oui
121 000 €;61 m²;3;1970 / 1980;Oui;D;E;2;Oui;-
300 500 €;93 m²;5;-;Oui;F;C;2;Oui;Non
135 000 €;53 m²;2;1948 / 1969;Oui;C;D;0;Oui;-
199 000 €;89 m²;4;-;Oui;-;-;4;Oui;Oui
199 000 €;69 m²;3;1981 / 1991;Oui;D;B;2;Non;Non
103 000 €;35 m²;2;1914 / 1947;Non;G;G;3;Non;Non
175 000 €;48 m²;2;-;Oui;-;-;2;Non;Oui
147 000 €;65 m²;3;1970 / 1980;Non;D;E;1;Non;-
146 832 €;87 m²;5;-;Oui;-;-;1;Oui;-
248 000 €;-;4;2011 / 2020;Oui;-;-;2;Non;Oui
225 000 €;53 m²;3;1948 / 1969;Oui;E;C;0;Non;Non
156 000 €;47 m²;2;2001 / 2010;Oui;-;-;0;Non;Oui
202 000 €;96 m²;5;1970 / 1980;Oui;D;E;5;Non;Oui
238 000 €;106 m²;5;-;Oui;-;-;1;Oui;Oui
138 160 €;60 m²;4;1948 / 1969;Non;E;C;0;Oui;Non
120 000 €;20 m²;1;-;Oui;G;G;5;Oui;Oui
145 000 €;74 m²;4;-;Oui;E;F;4;Oui;Non
80 000 €;43 m²;2;-;Oui;E;C;0;Non;Non
172 000 €;45 m²;2;1992 / 2000;Oui;E;C;1;Non;Oui
125 000 €;59 m²;3;1948 / 1969;Oui;F;G;1;Oui;Non
170 000 €;37 m²;2;2011 / 2020;Oui;D;E;1;Non;-
182 000 €;83 m²;4;1981 / 1991;Oui;D;E;1;Non;Non
82 388 €;45 m²;2;-;Non;-;-;0;Oui;-
307 000 €;97 m²;5;2001 / 2010;Oui;C;A;3;Oui;Oui
126 000 €;24 m²;1;1948 / 1969;Non;E;C;1;Non;-
220 000 €;68 m²;4;1948 / 1969;Oui;D;E;0;Oui;Non
94 896 €;45 m²;2;1948 / 1969;Non;-;-;0;Oui;Non
162 000 €;53 m²;2;1948 / 1969;Non;D;E;3;Oui;Non
107 000 €;28 m²;1;1970 / 1980;Oui;D;G;4;Oui;-
215 000 €;108 m²;5;-;Oui;D;E;4;Non;Non
155 000 €;62 m²;2;1981 / 1991;Oui;C;D;0;Non;Oui
200 000 €;42 m²;2;2001 / 2010;Oui;E;C;0;Non;Oui
130 570 €;51 m²;2;-;Non;-;-;5;Oui;-
263 800 €;-;4;2011 / 2020;Oui;-;-;4;Non;Oui
243 000 €;61 m²;3;2001 / 2010;Oui;D;B;2;Non;Oui
168 000 €;67 m²;3;1981 / 1991;Oui;D;B;1;Oui;Oui
170 000 €;70 m²;3;-;Oui;F;G;4;Oui;Non
175 464 €;-;0;-;-;-;-;-;-;-
175 464 €;-;0;-;-;-;-;-;-;-
155 000 €;49 m²;2;1981 / 1991;Oui;E;C;5;Non;Oui
117 000 €;36 m²;2;-;Oui;F;G;5;Oui;Oui
161 250 €;-;4;-;Oui;-;-;2;Non;-
120 000 €;45 m²;2;1970 / 1980;Oui;F;D;2;Oui;Non
102 000 €;68 m²;4;1970 / 1980;Oui;D;B;0;Non;Non
147 020 €;50 m²;2;1970 / 1980;Oui;D;E;0;Oui;Non
97 000 €;37 m²;1;-;Oui;E;B;1;Oui;-
214 080 €;111 m²;5;-;Oui;-;-;3;Oui;Oui
227 480 €;-;3;2011 / 2020;Oui;-;-;0;Non;Oui
;;;;;;;;;
