Les 1 577 ventes d'appartements d' Issy-les-Moulineaux (92) sur la période du 2017-07-01 au 2019-06-30 (Notaires de France - base de données PERVAL);;;;;;;;;
;;;;;;;;;
Montant;Surface;Nombre de pièces;Construction;Garage;DPE;GES;Etage;Cave;Terrasse / balcon
244 194 €;54 m²;2;1992 / 2000;Oui;D;B;3;-;Oui
440 000 €;61 m²;0;-;Oui;-;-;2;Oui;-
439 000 €;66 m²;3;1948 / 1969;Oui;C;D;3;Oui;Oui
538 000 €;91 m²;5;1970 / 1980;Oui;C;E;7;Oui;-
273 000 €;43 m²;3;-;-;-;-;0;Oui;Oui
407 000 €;46 m²;2;2011 / 2020;Oui;-;-;3;Oui;Oui
296 000 €;31 m²;1;2011 / 2020;Non;-;-;2;Non;Oui
288 000 €;44 m²;4;Avant 1850;Non;D;E;4;Oui;Non
580 000 €;66 m²;3;2011 / 2020;Oui;-;-;7;-;Oui
460 000 €;59 m²;3;2011 / 2020;Non;-;-;2;-;Oui
163 000 €;20 m²;1;1948 / 1969;Non;-;-;6;Oui;-
428 000 €;75 m²;4;1948 / 1969;Non;-;-;1;Oui;-
395 000 €;42 m²;2;2011 / 2020;Oui;-;-;4;-;Oui
353 030 €;62 m²;3;1970 / 1980;Oui;C;A;11;Oui;-
401 000 €;52 m²;2;1992 / 2000;Oui;-;-;6;Oui;Oui
235 000 €;30 m²;2;1970 / 1980;Non;D;B;1;Oui;Non
360 000 €;52 m²;2;1914 / 1947;Non;-;-;3;Oui;-
271 000 €;39 m²;3;-;-;E;C;2;-;-
411 500 €;87 m²;5;-;Non;D;E;7;-;Oui
350 000 €;39 m²;2;2011 / 2020;Non;-;-;1;-;Oui
165 000 €;28 m²;1;1914 / 1947;Non;F;F;5;Oui;-
337 500 €;44 m²;2;1992 / 2000;Oui;-;-;2;Oui;Oui
520 000 €;66 m²;3;1948 / 1969;Non;-;-;0;-;Oui
173 000 €;33 m²;1;-;Oui;-;-;2;Oui;Oui
486 500 €;61 m²;3;2001 / 2010;Oui;-;-;0;-;Oui
355 000 €;69 m²;3;1981 / 1991;Non;D;C;1;Oui;Oui
1 146 600 €;133 m²;6;-;-;D;D;5;-;-
693 500 €;90 m²;4;-;Oui;-;-;2;Oui;-
260 000 €;32 m²;2;1914 / 1947;Non;F;D;3;Oui;-
696 600 €;84 m²;4;2011 / 2020;Oui;B;C;3;Oui;Oui
259 550 €;51 m²;3;2001 / 2010;Non;-;-;0;-;-
148 400 €;28 m²;1;-;Oui;-;-;5;-;Oui
270 000 €;29 m²;1;1992 / 2000;Non;-;-;3;Oui;-
691 000 €;113 m²;5;1992 / 2000;Oui;-;-;3;Oui;Oui
633 000 €;65 m²;4;1914 / 1947;Non;E;B;1;Oui;-
364 000 €;43 m²;3;1914 / 1947;Non;F;C;1;Oui;-
726 800 €;94 m²;4;2001 / 2010;Oui;C;A;3;Oui;Oui
580 000 €;73 m²;3;2011 / 2020;Oui;-;-;6;-;Non
404 000 €;50 m²;2;2011 / 2020;Oui;-;-;3;-;Non
1 094 600 €;128 m²;4;-;Oui;D;B;8;Oui;Oui
839 000 €;-;5;2011 / 2020;Oui;-;-;0;Oui;Oui
372 005 €;83 m²;4;1992 / 2000;Oui;D;B;8;-;Oui
35 000 €;30 m²;2;-;Non;-;-;2;Oui;Oui
361 500 €;47 m²;3;1948 / 1969;Non;D;D;7;Oui;-
460 000 €;66 m²;3;-;Non;-;-;4;Oui;-
275 225 €;32 m²;1;2001 / 2010;Oui;D;B;1;Oui;Oui
832 000 €;109 m²;4;2001 / 2010;Oui;C;D;0;Oui;Oui
200 500 €;29 m²;2;1981 / 1991;-;C;D;3;Oui;-
382 588 €;83 m²;4;1992 / 2000;Oui;D;B;9;-;Oui
560 000 €;67 m²;3;2011 / 2020;Oui;-;-;2;-;Oui
650 000 €;69 m²;3;2001 / 2010;Oui;D;B;4;Oui;-
682 000 €;91 m²;4;-;Oui;-;-;1;Oui;Oui
452 000 €;73 m²;3;1981 / 1991;Oui;D;C;3;Oui;Oui
226 118 €;51 m²;2;1992 / 2000;Non;D;B;6;-;Oui
262 000 €;51 m²;2;1981 / 1991;Oui;-;-;1;Oui;-
403 000 €;47 m²;2;1992 / 2000;Oui;D;B;4;Oui;Oui
481 900 €;60 m²;3;-;Non;E;B;2;Oui;-
237 000 €;38 m²;2;-;Non;E;E;5;-;-
197 000 €;25 m²;2;-;Non;-;-;1;Oui;-
178 000 €;24 m²;1;-;Non;-;-;1;-;-
329 500 €;44 m²;2;-;Non;-;-;4;Oui;Oui
505 000 €;73 m²;3;1992 / 2000;Oui;C;B;7;Oui;Oui
165 000 €;26 m²;1;-;Non;-;-;4;Oui;-
345 500 €;49 m²;3;-;Non;-;-;1;-;Oui
442 745 €;67 m²;3;1981 / 1991;Oui;D;B;4;-;Oui
322 480 €;52 m²;2;-;Oui;E;C;0;-;Oui
245 000 €;31 m²;1;2011 / 2020;Non;-;-;0;-;-
776 000 €;98 m²;4;2011 / 2020;Oui;-;-;3;-;Oui
470 000 €;80 m²;4;1948 / 1969;Non;-;-;0;Oui;-
210 000 €;42 m²;2;1914 / 1947;Non;-;-;0;-;-
460 000 €;59 m²;3;2011 / 2020;Oui;C;A;3;-;Oui
598 200 €;76 m²;4;2011 / 2020;Oui;B;C;2;-;-
234 000 €;32 m²;2;1914 / 1947;Non;E;D;1;Oui;-
200 685 €;21 m²;2;-;Non;-;-;2;-;-
298 586 €;68 m²;3;1992 / 2000;Oui;D;B;2;-;Non
734 500 €;97 m²;4;1992 / 2000;Oui;C;B;1;Oui;Oui
221 211 €;51 m²;2;1992 / 2000;Non;D;B;3;-;Non
295 000 €;40 m²;2;2011 / 2020;Oui;D;A;1;-;-
774 500 €;97 m²;4;-;Oui;-;-;1;Oui;Oui
344 000 €;43 m²;2;1970 / 1980;Oui;-;-;1;Oui;Oui
384 000 €;46 m²;2;2011 / 2020;Oui;-;-;3;-;Non
600 000 €;68 m²;3;2001 / 2010;Oui;-;-;5;Oui;Oui
508 000 €;70 m²;3;1970 / 1980;Oui;D;B;1;Oui;Oui
80 000 €;17 m²;1;2001 / 2010;Non;D;E;3;-;Oui
655 440 €;81 m²;4;1948 / 1969;Oui;C;D;2;Oui;Oui
370 000 €;-;3;-;Oui;-;-;-;Oui;Oui
470 500 €;62 m²;3;1970 / 1980;Non;E;G;6;Oui;-
286 800 €;66 m²;3;1992 / 2000;Oui;D;B;1;-;Non
228 000 €;27 m²;1;-;Non;D;E;0;-;-
560 000 €;72 m²;3;2001 / 2010;Non;-;-;2;-;Oui
1 269 999 €;78 m²;6;2011 / 2020;Oui;-;-;5;Oui;Oui
425 000 €;52 m²;2;-;Oui;-;-;4;Oui;Oui
255 000 €;54 m²;2;-;Oui;-;-;2;Oui;-
436 000 €;54 m²;3;1914 / 1947;Non;F;C;3;Oui;-
298 285 €;55 m²;2;-;Non;E;F;0;Oui;-
250 000 €;45 m²;2;1948 / 1969;Non;-;-;2;Oui;Non
595 000 €;66 m²;3;1992 / 2000;Oui;D;E;2;Oui;Oui
230 000 €;37 m²;2;1948 / 1969;Oui;-;-;1;Oui;-
339 348 €;49 m²;2;1914 / 1947;Non;-;-;4;-;Oui
530 000 €;70 m²;3;2011 / 2020;Non;C;A;5;-;Non
450 000 €;64 m²;3;1992 / 2000;Oui;D;B;2;Oui;Non
405 000 €;46 m²;2;2011 / 2020;Oui;-;-;3;Oui;Oui
485 436 €;53 m²;2;2001 / 2010;Oui;D;C;0;Oui;Oui
176 000 €;32 m²;2;2001 / 2010;Oui;-;-;0;-;-
206 000 €;36 m²;2;1914 / 1947;Non;D;E;4;Oui;-
227 964 €;51 m²;2;1992 / 2000;Oui;D;B;4;-;Oui
461 093 €;59 m²;3;-;Oui;-;-;0;-;Oui
213 000 €;27 m²;2;-;Non;F;D;6;Oui;-
995 000 €;84 m²;5;-;-;-;-;0;Oui;-
226 300 €;44 m²;2;-;Oui;-;-;8;-;Oui
148 000 €;19 m²;1;-;Non;-;-;0;Oui;-
323 355 €;45 m²;2;-;Oui;-;-;2;Non;-
550 000 €;71 m²;3;-;Oui;-;-;3;Oui;-
580 000 €;78 m²;3;-;Oui;-;-;2;Oui;Oui
247 115 €;28 m²;1;2001 / 2010;Oui;C;E;5;-;Oui
150 000 €;30 m²;3;1850 / 1913;Non;-;-;1;Oui;-
864 150 €;93 m²;4;2001 / 2010;Oui;D;B;3;-;Oui
468 500 €;66 m²;4;-;-;-;-;2;Oui;-
152 100 €;30 m²;1;-;Oui;D;F;3;-;Non
675 000 €;80 m²;4;1948 / 1969;Non;-;-;7;Oui;-
369 000 €;42 m²;2;1992 / 2000;Oui;D;B;6;Oui;-
180 000 €;30 m²;1;1850 / 1913;Non;-;-;0;Oui;-
600 000 €;80 m²;4;1948 / 1969;Oui;D;B;2;Oui;-
149 400 €;30 m²;1;-;Oui;D;E;4;-;Non
704 000 €;87 m²;4;2001 / 2010;Oui;D;A;3;Oui;Oui
144 100 €;28 m²;1;-;Non;D;E;2;-;Oui
215 000 €;29 m²;2;-;-;-;-;2;-;-
250 000 €;37 m²;2;1948 / 1969;Non;-;-;3;Oui;-
421 000 €;0 m²;2;2011 / 2020;Oui;-;-;0;Oui;Oui
352 850 €;73 m²;3;1981 / 1991;Oui;-;-;23;Oui;-
450 000 €;63 m²;3;1981 / 1991;Oui;D;B;1;Oui;-
250 000 €;45 m²;2;-;Non;-;-;3;Oui;-
550 000 €;68 m²;3;-;Oui;-;-;4;Oui;Oui
245 000 €;36 m²;2;-;Non;-;-;7;Non;-
420 000 €;44 m²;2;2001 / 2010;Oui;E;C;7;Oui;-
790 000 €;93 m²;4;1981 / 1991;Non;E;F;3;Oui;Oui
158 400 €;20 m²;1;-;Non;-;-;4;-;-
138 000 €;17 m²;1;1992 / 2000;Non;F;E;1;Non;Non
299 749 €;41 m²;2;2001 / 2010;Oui;E;C;5;-;Oui
540 000 €;62 m²;3;2011 / 2020;Oui;-;-;2;Oui;Oui
820 050 €;103 m²;5;-;-;-;-;2;Oui;-
310 000 €;32 m²;1;2001 / 2010;Oui;-;-;3;Oui;-
81 440 €;15 m²;1;-;-;-;-;6;Oui;-
151 200 €;31 m²;1;-;Non;-;-;1;-;Oui
678 700 €;78 m²;3;2011 / 2020;Oui;A;C;2;Oui;Oui
440 000 €;50 m²;3;-;Non;-;-;1;Oui;-
355 000 €;47 m²;2;2011 / 2020;Oui;-;-;1;-;Non
271 500 €;36 m²;2;-;Non;-;-;2;Oui;-
780 000 €;90 m²;4;-;Oui;-;-;0;Non;Oui
444 000 €;50 m²;3;1992 / 2000;Oui;-;-;6;Non;Oui
195 000 €;21 m²;1;-;Oui;F;G;0;Oui;Oui
219 529 €;50 m²;2;1992 / 2000;Non;D;B;8;-;Non
520 000 €;62 m²;3;2011 / 2020;Oui;-;-;1;Oui;Oui
